std,lower_quartile,dwelling,district,end_date,area,region,bedrooms,upper_quartile,start_date,bonds_received,average_rent,median_rent,date_type
64.08,150,Room,Tauranga,2011-02-28,Tauranga Central/Greerton,Waikato,1,285,2010-09-01,21,220,200,range
19.91,178,Flat,Rotorua,2011-02-28,Holdens Bay/Owhata/Ngapuna,Waikato,2,213,2010-09-01,9,195,190,range
66.7,365,House,Rotorua,2011-02-28,Holdens Bay/Owhata/Ngapuna,Waikato,4,420,2010-09-01,14,398,397,range
55.12,230,House,Rotorua,2011-02-28,Holdens Bay/Owhata/Ngapuna,Waikato,3,298,2010-09-01,111,263,265,range
39.11,192,House,Rotorua,2011-02-28,Holdens Bay/Owhata/Ngapuna,Waikato,2,247,2010-09-01,23,221,205,range
40.42,118,Flat,Otorohanga/Waitomo,2011-02-28,Both Districts,Waikato,2,181,2010-09-01,13,158,160,range
53.76,227,House,Otorohanga/Waitomo,2011-02-28,Both Districts,Waikato,4,285,2010-09-01,17,256,250,range
34.72,195,House,Otorohanga/Waitomo,2011-02-28,Both Districts,Waikato,3,240,2010-09-01,96,216,220,range
27.35,160,House,Otorohanga/Waitomo,2011-02-28,Both Districts,Waikato,2,200,2010-09-01,28,180,180,range
67.28,340,Apartment,Tauranga,2011-02-28,Mt Maunganui,Waikato,3,390,2010-09-01,46,380,360,range
89.94,330,Apartment,Tauranga,2011-02-28,Mt Maunganui,Waikato,2,420,2010-09-01,50,383,377,range
15.06,300,Apartment,Tauranga,2011-02-28,Mt Maunganui,Waikato,1,320,2010-09-01,6,313,310,range
92.56,280,Flat,Tauranga,2011-02-28,Mt Maunganui,Waikato,3,325,2010-09-01,8,295,290,range
37.62,250,Flat,Tauranga,2011-02-28,Mt Maunganui,Waikato,2,285,2010-09-01,57,263,260,range
40.42,180,Flat,Tauranga,2011-02-28,Mt Maunganui,Waikato,1,240,2010-09-01,18,213,200,range
107.64,350,House,Tauranga,2011-02-28,Mt Maunganui,Waikato,4,495,2010-09-01,34,429,415,range
64.24,310,House,Tauranga,2011-02-28,Mt Maunganui,Waikato,3,370,2010-09-01,217,349,330,range
56.24,270,House,Tauranga,2011-02-28,Mt Maunganui,Waikato,2,340,2010-09-01,84,306,297,range
60.33,130,Room,Tauranga,2011-02-28,Mt Maunganui,Waikato,1,240,2010-09-01,10,192,180,range
27.43,170,Flat,Matamata/Piako,2011-02-28,Entire District,Waikato,2,210,2010-09-01,37,193,190,range
29.55,135,Flat,Matamata/Piako,2011-02-28,Entire District,Waikato,1,160,2010-09-01,10,153,145,range
49.5,250,House,Matamata/Piako,2011-02-28,Entire District,Waikato,4,330,2010-09-01,56,288,285,range
40.49,240,House,Matamata/Piako,2011-02-28,Entire District,Waikato,3,280,2010-09-01,222,262,260,range
32.35,200,House,Matamata/Piako,2011-02-28,Entire District,Waikato,2,250,2010-09-01,51,225,225,range
27.78,160,Flat,Hauraki,2011-02-28,Entire District,Waikato,2,210,2010-09-01,14,182,192,range
11.73,165,Flat,Hauraki,2011-02-28,Entire District,Waikato,1,176,2010-09-01,5,170,175,range
31.49,250,House,Hauraki,2011-02-28,Entire District,Waikato,4,290,2010-09-01,24,271,277,range
36.72,220,House,Hauraki,2011-02-28,Entire District,Waikato,3,260,2010-09-01,145,235,240,range
43.51,202,House,Hauraki,2011-02-28,Entire District,Waikato,2,232,2010-09-01,40,220,220,range
61.45,370,Apartment,Taupo,2011-02-28,Taupo Central/Tauhara,Waikato,3,450,2010-09-01,6,398,415,range
31.14,161,Apartment,Taupo,2011-02-28,Taupo Central/Tauhara,Waikato,1,207,2010-09-01,5,187,190,range
34.17,207,Flat,Taupo,2011-02-28,Taupo Central/Tauhara,Waikato,3,250,2010-09-01,8,225,240,range
33.9,180,Flat,Taupo,2011-02-28,Taupo Central/Tauhara,Waikato,2,220,2010-09-01,43,197,195,range
22.85,150,Flat,Taupo,2011-02-28,Taupo Central/Tauhara,Waikato,1,180,2010-09-01,18,168,160,range
63.78,300,House,Taupo,2011-02-28,Taupo Central/Tauhara,Waikato,4,360,2010-09-01,22,342,327,range
52.56,260,House,Taupo,2011-02-28,Taupo Central/Tauhara,Waikato,3,290,2010-09-01,105,277,270,range
35.98,200,House,Taupo,2011-02-28,Taupo Central/Tauhara,Waikato,2,255,2010-09-01,58,235,237,range
155.02,180,House,Taupo,2011-02-28,Taupo Central/Tauhara,Waikato,1,300,2010-09-01,6,265,230,range
43.89,280,Apartment,Hamilton,2011-02-28,Hillcrest/Silverdale/Tamahere,Waikato,2,300,2010-09-01,6,271,280,range
3.2,185,Apartment,Hamilton,2011-02-28,Hillcrest/Silverdale/Tamahere,Waikato,1,187,2010-09-01,8,185,185,range
22.78,210,Flat,Hamilton,2011-02-28,Hillcrest/Silverdale/Tamahere,Waikato,2,250,2010-09-01,17,232,235,range
23.08,150,Flat,Hamilton,2011-02-28,Hillcrest/Silverdale/Tamahere,Waikato,1,185,2010-09-01,35,162,160,range
58.05,425,House,Hamilton,2011-02-28,Hillcrest/Silverdale/Tamahere,Waikato,5+,486,2010-09-01,11,450,450,range
101.93,350,House,Hamilton,2011-02-28,Hillcrest/Silverdale/Tamahere,Waikato,4,420,2010-09-01,46,403,380,range
43.24,300,House,Hamilton,2011-02-28,Hillcrest/Silverdale/Tamahere,Waikato,3,352,2010-09-01,93,331,325,range
46.4,252,House,Hamilton,2011-02-28,Hillcrest/Silverdale/Tamahere,Waikato,2,290,2010-09-01,31,277,270,range
74.63,186,House,Hamilton,2011-02-28,Hillcrest/Silverdale/Tamahere,Waikato,1,282,2010-09-01,5,233,200,range
24.05,75,Room,Hamilton,2011-02-28,Hillcrest/Silverdale/Tamahere,Waikato,1,97,2010-09-01,7,89,90,range
15.17,267,Apartment,Hamilton,2011-02-28,Te Kowhai/St Andrews/Queenwood,Waikato,2,285,2010-09-01,5,276,270,range
31.93,230,Flat,Hamilton,2011-02-28,Te Kowhai/St Andrews/Queenwood,Waikato,2,270,2010-09-01,22,244,250,range
21.46,161,Flat,Hamilton,2011-02-28,Te Kowhai/St Andrews/Queenwood,Waikato,1,193,2010-09-01,11,178,185,range
81.83,450,House,Hamilton,2011-02-28,Te Kowhai/St Andrews/Queenwood,Waikato,5+,480,2010-09-01,6,448,455,range
74.46,350,House,Hamilton,2011-02-28,Te Kowhai/St Andrews/Queenwood,Waikato,4,425,2010-09-01,54,397,380,range
74.66,300,House,Hamilton,2011-02-28,Te Kowhai/St Andrews/Queenwood,Waikato,3,350,2010-09-01,227,334,325,range
26.25,270,House,Hamilton,2011-02-28,Te Kowhai/St Andrews/Queenwood,Waikato,2,300,2010-09-01,34,283,282,range
37.59,160,Flat,Rotorua,2011-02-28,Pukehangi South/Springfield,Waikato,2,231,2010-09-01,15,191,175,range
39.25,320,House,Rotorua,2011-02-28,Pukehangi South/Springfield,Waikato,4,391,2010-09-01,23,357,360,range
47.09,260,House,Rotorua,2011-02-28,Pukehangi South/Springfield,Waikato,3,310,2010-09-01,87,285,280,range
27.45,230,House,Rotorua,2011-02-28,Pukehangi South/Springfield,Waikato,2,253,2010-09-01,15,240,240,range
27.43,170,Flat,Matamata/Piako,2011-02-28,Entire District,Waikato,2,210,2010-09-01,37,193,190,range
29.55,135,Flat,Matamata/Piako,2011-02-28,Entire District,Waikato,1,160,2010-09-01,10,153,145,range
49.5,250,House,Matamata/Piako,2011-02-28,Entire District,Waikato,4,330,2010-09-01,56,288,285,range
40.49,240,House,Matamata/Piako,2011-02-28,Entire District,Waikato,3,280,2010-09-01,222,262,260,range
32.35,200,House,Matamata/Piako,2011-02-28,Entire District,Waikato,2,250,2010-09-01,51,225,225,range
61.3,405,Apartment,Hamilton,2011-02-28,Flagstaff/Rototuna,Waikato,4,493,2010-09-01,5,453,430,range
65.96,452,House,Hamilton,2011-02-28,Flagstaff/Rototuna,Waikato,5+,507,2010-09-01,19,481,480,range
35.25,420,House,Hamilton,2011-02-28,Flagstaff/Rototuna,Waikato,4,450,2010-09-01,131,438,430,range
27.05,380,House,Hamilton,2011-02-28,Flagstaff/Rototuna,Waikato,3,400,2010-09-01,123,390,390,range
37.38,305,House,Hamilton,2011-02-28,Flagstaff/Rototuna,Waikato,2,330,2010-09-01,6,317,330,range
29.7,225,Flat,Hamilton,2011-02-28,Dinsdale North/Nawton,Waikato,2,268,2010-09-01,9,242,230,range
32.09,156,Flat,Hamilton,2011-02-28,Dinsdale North/Nawton,Waikato,1,211,2010-09-01,9,179,162,range
41.65,320,House,Hamilton,2011-02-28,Dinsdale North/Nawton,Waikato,4,360,2010-09-01,26,337,335,range
40.19,280,House,Hamilton,2011-02-28,Dinsdale North/Nawton,Waikato,3,320,2010-09-01,179,303,300,range
32.61,238,House,Hamilton,2011-02-28,Dinsdale North/Nawton,Waikato,2,271,2010-09-01,37,257,255,range
50.49,322,Apartment,Hamilton,2011-02-28,Deanwell/Melville/Fitzroy,Waikato,3,385,2010-09-01,12,359,355,range
47.85,280,Apartment,Hamilton,2011-02-28,Deanwell/Melville/Fitzroy,Waikato,2,327,2010-09-01,15,299,300,range
40.21,190,Flat,Hamilton,2011-02-28,Deanwell/Melville/Fitzroy,Waikato,2,247,2010-09-01,68,219,220,range
28.32,180,Flat,Hamilton,2011-02-28,Deanwell/Melville/Fitzroy,Waikato,1,200,2010-09-01,50,193,195,range
36.84,342,House,Hamilton,2011-02-28,Deanwell/Melville/Fitzroy,Waikato,5+,375,2010-09-01,7,357,350,range
56.61,315,House,Hamilton,2011-02-28,Deanwell/Melville/Fitzroy,Waikato,4,380,2010-09-01,42,349,335,range
38.31,282,House,Hamilton,2011-02-28,Deanwell/Melville/Fitzroy,Waikato,3,330,2010-09-01,244,309,300,range
42.84,250,House,Hamilton,2011-02-28,Deanwell/Melville/Fitzroy,Waikato,2,300,2010-09-01,83,269,265,range
26.98,200,House,Hamilton,2011-02-28,Deanwell/Melville/Fitzroy,Waikato,1,211,2010-09-01,9,210,200,range
34.09,132,Room,Hamilton,2011-02-28,Deanwell/Melville/Fitzroy,Waikato,1,200,2010-09-01,16,168,165,range
49.32,190,Apartment,Hamilton,2011-02-28,Claudelands,Waikato,2,215,2010-09-01,10,214,202,range
34.82,180,Flat,Hamilton,2011-02-28,Claudelands,Waikato,2,210,2010-09-01,58,203,197,range
18.69,156,Flat,Hamilton,2011-02-28,Claudelands,Waikato,1,190,2010-09-01,43,169,160,range
86.38,312,House,Hamilton,2011-02-28,Claudelands,Waikato,4,475,2010-09-01,7,405,450,range
45.47,265,House,Hamilton,2011-02-28,Claudelands,Waikato,3,340,2010-09-01,23,297,300,range
39.2,200,Flat,Franklin,2011-02-28,Waiuku,Waikato,2,257,2010-09-01,15,229,240,range
51.82,340,House,Franklin,2011-02-28,Waiuku,Waikato,4,400,2010-09-01,41,375,360,range
36.14,280,House,Franklin,2011-02-28,Waiuku,Waikato,3,322,2010-09-01,61,305,300,range
20.94,240,House,Franklin,2011-02-28,Waiuku,Waikato,2,260,2010-09-01,19,244,250,range
89.32,183,Flat,Franklin,2011-02-28,Rural Franklin,Waikato,1,235,2010-09-01,9,230,220,range
120.49,418,House,Franklin,2011-02-28,Rural Franklin,Waikato,5+,612,2010-09-01,13,498,450,range
112.69,346,House,Franklin,2011-02-28,Rural Franklin,Waikato,4,492,2010-09-01,33,410,400,range
136.73,290,House,Franklin,2011-02-28,Rural Franklin,Waikato,3,360,2010-09-01,98,348,320,range
47.21,227,House,Franklin,2011-02-28,Rural Franklin,Waikato,2,280,2010-09-01,25,250,260,range
75.7,192,House,Franklin,2011-02-28,Rural Franklin,Waikato,1,330,2010-09-01,5,266,300,range
70.36,160,Flat,Taupo,2011-02-28,Rural Taupo,Waikato,2,250,2010-09-01,6,195,200,range
100.56,200,House,Taupo,2011-02-28,Rural Taupo,Waikato,4,375,2010-09-01,18,296,292,range
57.62,160,House,Taupo,2011-02-28,Rural Taupo,Waikato,3,230,2010-09-01,76,198,180,range
39.28,150,House,Taupo,2011-02-28,Rural Taupo,Waikato,2,205,2010-09-01,28,179,175,range
29.61,130,Flat,South Taranaki,2011-02-28,Hawera,Taranaki,2,160,2010-09-01,18,150,150,range
7.07,127,Flat,South Taranaki,2011-02-28,Hawera,Taranaki,1,132,2010-09-01,5,130,130,range
58.91,260,House,South Taranaki,2011-02-28,Hawera,Taranaki,5+,361,2010-09-01,5,313,300,range
35.79,257,House,South Taranaki,2011-02-28,Hawera,Taranaki,4,302,2010-09-01,17,278,275,range
37.3,220,House,South Taranaki,2011-02-28,Hawera,Taranaki,3,250,2010-09-01,103,235,240,range
29.03,186,House,South Taranaki,2011-02-28,Hawera,Taranaki,2,220,2010-09-01,31,201,200,range
51.27,262,Apartment,Franklin,2011-02-28,Pukekohe/Tuakau,Waikato,2,277,2010-09-01,7,285,270,range
27.17,250,Apartment,Franklin,2011-02-28,Pukekohe/Tuakau,Waikato,1,277,2010-09-01,12,265,262,range
46.58,247,Flat,Franklin,2011-02-28,Pukekohe/Tuakau,Waikato,3,290,2010-09-01,5,262,280,range
31.34,230,Flat,Franklin,2011-02-28,Pukekohe/Tuakau,Waikato,2,275,2010-09-01,32,252,265,range
58.18,200,Flat,Franklin,2011-02-28,Pukekohe/Tuakau,Waikato,1,250,2010-09-01,10,223,212,range
97.64,390,House,Franklin,2011-02-28,Pukekohe/Tuakau,Waikato,5+,525,2010-09-01,12,453,450,range
105.51,350,House,Franklin,2011-02-28,Pukekohe/Tuakau,Waikato,4,450,2010-09-01,90,412,400,range
50.06,300,House,Franklin,2011-02-28,Pukekohe/Tuakau,Waikato,3,350,2010-09-01,194,326,330,range
56.13,242,House,Franklin,2011-02-28,Pukekohe/Tuakau,Waikato,2,282,2010-09-01,48,269,265,range
24.55,170,Flat,New Plymouth,2011-02-28,Waitara/Inglewood,Taranaki,2,200,2010-09-01,26,182,185,range
31.99,125,Flat,New Plymouth,2011-02-28,Waitara/Inglewood,Taranaki,1,165,2010-09-01,12,146,142,range
30.63,262,House,New Plymouth,2011-02-28,Waitara/Inglewood,Taranaki,4,300,2010-09-01,12,282,282,range
51.53,237,House,New Plymouth,2011-02-28,Waitara/Inglewood,Taranaki,3,275,2010-09-01,100,262,250,range
40.46,202,House,New Plymouth,2011-02-28,Waitara/Inglewood,Taranaki,2,253,2010-09-01,27,232,220,range
87.66,250,House,New Plymouth,2011-02-28,Rural New Plymouth,Taranaki,4,400,2010-09-01,6,314,267,range
70.4,235,House,New Plymouth,2011-02-28,Rural New Plymouth,Taranaki,3,300,2010-09-01,31,269,270,range
74.83,180,House,New Plymouth,2011-02-28,Rural New Plymouth,Taranaki,2,312,2010-09-01,5,250,240,range
107.94,170,Apartment,New Plymouth,2011-02-28,New Plymouth Central/Moturoa,Taranaki,3,395,2010-09-01,6,290,290,range
56.78,250,Apartment,New Plymouth,2011-02-28,New Plymouth Central/Moturoa,Taranaki,2,295,2010-09-01,24,277,272,range
33.68,203,Apartment,New Plymouth,2011-02-28,New Plymouth Central/Moturoa,Taranaki,1,250,2010-09-01,17,225,220,range
111.71,210,Flat,New Plymouth,2011-02-28,New Plymouth Central/Moturoa,Taranaki,3,285,2010-09-01,6,275,245,range
28.31,193,Flat,New Plymouth,2011-02-28,New Plymouth Central/Moturoa,Taranaki,2,235,2010-09-01,49,213,220,range
41.52,160,Flat,New Plymouth,2011-02-28,New Plymouth Central/Moturoa,Taranaki,1,190,2010-09-01,31,175,160,range
75.37,337,House,New Plymouth,2011-02-28,New Plymouth Central/Moturoa,Taranaki,5+,440,2010-09-01,5,391,385,range
64.21,350,House,New Plymouth,2011-02-28,New Plymouth Central/Moturoa,Taranaki,4,400,2010-09-01,26,387,380,range
59.1,280,House,New Plymouth,2011-02-28,New Plymouth Central/Moturoa,Taranaki,3,350,2010-09-01,109,317,310,range
39.52,260,House,New Plymouth,2011-02-28,New Plymouth Central/Moturoa,Taranaki,2,287,2010-09-01,44,279,275,range
58.58,242,Flat,Tasman,2011-02-28,Motueka/Rural Tasman,Tasman,3,280,2010-09-01,7,247,275,range
42.26,195,Flat,Tasman,2011-02-28,Motueka/Rural Tasman,Tasman,2,250,2010-09-01,21,219,220,range
26.41,130,Flat,Tasman,2011-02-28,Motueka/Rural Tasman,Tasman,1,165,2010-09-01,21,149,150,range
85.34,280,House,Tasman,2011-02-28,Motueka/Rural Tasman,Tasman,4,355,2010-09-01,24,333,325,range
47.4,265,House,Tasman,2011-02-28,Motueka/Rural Tasman,Tasman,3,320,2010-09-01,90,288,290,range
49.63,200,House,Tasman,2011-02-28,Motueka/Rural Tasman,Tasman,2,276,2010-09-01,41,242,250,range
45.78,135,House,Tasman,2011-02-28,Motueka/Rural Tasman,Tasman,1,207,2010-09-01,8,165,165,range
211.01,275,Apartment,Whakatane,2011-02-28,Whakatane,Bay of Plenty,2,700,2010-09-01,20,509,575,range
35.35,196,Flat,Whakatane,2011-02-28,Whakatane,Bay of Plenty,2,243,2010-09-01,63,220,210,range
51.94,160,Flat,Whakatane,2011-02-28,Whakatane,Bay of Plenty,1,200,2010-09-01,14,190,167,range
476.44,350,House,Whakatane,2011-02-28,Whakatane,Bay of Plenty,5+,950,2010-09-01,8,636,410,range
277.59,330,House,Whakatane,2011-02-28,Whakatane,Bay of Plenty,4,400,2010-09-01,41,446,365,range
61.21,275,House,Whakatane,2011-02-28,Whakatane,Bay of Plenty,3,330,2010-09-01,183,304,300,range
34.3,233,House,Whakatane,2011-02-28,Whakatane,Bay of Plenty,2,265,2010-09-01,45,249,250,range
56.38,300,House,Rotorua,2011-02-28,Rural Rotorua,Waikato,4,390,2010-09-01,14,346,340,range
56.2,240,House,Rotorua,2011-02-28,Rural Rotorua,Waikato,3,300,2010-09-01,38,273,270,range
56.37,170,House,Rotorua,2011-02-28,Rural Rotorua,Waikato,2,257,2010-09-01,20,222,225,range
39.27,195,Flat,Western Bay of Plenty,2011-02-28,Waihi Beach/Omokoroa,Bay of Plenty,2,252,2010-09-01,12,223,212,range
55.91,97,Flat,Western Bay of Plenty,2011-02-28,Waihi Beach/Omokoroa,Bay of Plenty,1,207,2010-09-01,8,151,145,range
54.18,350,House,Western Bay of Plenty,2011-02-28,Waihi Beach/Omokoroa,Bay of Plenty,5+,420,2010-09-01,10,380,380,range
58.05,330,House,Western Bay of Plenty,2011-02-28,Waihi Beach/Omokoroa,Bay of Plenty,4,360,2010-09-01,46,352,350,range
77.51,250,House,Western Bay of Plenty,2011-02-28,Waihi Beach/Omokoroa,Bay of Plenty,3,320,2010-09-01,122,292,280,range
44.79,220,House,Western Bay of Plenty,2011-02-28,Waihi Beach/Omokoroa,Bay of Plenty,2,263,2010-09-01,51,242,240,range
53.2,182,House,Western Bay of Plenty,2011-02-28,Waihi Beach/Omokoroa,Bay of Plenty,1,225,2010-09-01,5,209,195,range
87.03,350,Apartment,New Plymouth,2011-02-28,Outer New Plymouth,Taranaki,3,450,2010-09-01,10,397,397,range
58.12,240,Apartment,New Plymouth,2011-02-28,Outer New Plymouth,Taranaki,2,280,2010-09-01,22,277,260,range
70.46,270,Flat,New Plymouth,2011-02-28,Outer New Plymouth,Taranaki,3,310,2010-09-01,8,302,305,range
35.29,200,Flat,New Plymouth,2011-02-28,Outer New Plymouth,Taranaki,2,250,2010-09-01,90,233,230,range
45.2,133,Flat,New Plymouth,2011-02-28,Outer New Plymouth,Taranaki,1,190,2010-09-01,33,171,175,range
70.81,350,House,New Plymouth,2011-02-28,Outer New Plymouth,Taranaki,4,450,2010-09-01,84,411,400,range
67.54,300,House,New Plymouth,2011-02-28,Outer New Plymouth,Taranaki,3,360,2010-09-01,320,340,330,range
35.21,250,House,New Plymouth,2011-02-28,Outer New Plymouth,Taranaki,2,285,2010-09-01,108,271,270,range
47.82,170,House,New Plymouth,2011-02-28,Outer New Plymouth,Taranaki,1,230,2010-09-01,8,202,210,range
79.43,315,Apartment,Tauranga,2011-02-28,Tauranga Central/Greerton,Bay of Plenty,3,430,2010-09-01,18,371,350,range
85.86,265,Apartment,Tauranga,2011-02-28,Tauranga Central/Greerton,Bay of Plenty,2,412,2010-09-01,31,322,275,range
37.16,235,Apartment,Tauranga,2011-02-28,Tauranga Central/Greerton,Bay of Plenty,1,280,2010-09-01,16,260,250,range
88.71,177,Flat,Tauranga,2011-02-28,Tauranga Central/Greerton,Bay of Plenty,3,332,2010-09-01,5,268,300,range
26.98,230,Flat,Tauranga,2011-02-28,Tauranga Central/Greerton,Bay of Plenty,2,260,2010-09-01,89,245,250,range
41.38,168,Flat,Tauranga,2011-02-28,Tauranga Central/Greerton,Bay of Plenty,1,210,2010-09-01,45,184,190,range
47.97,377,House,Tauranga,2011-02-28,Tauranga Central/Greerton,Bay of Plenty,5+,450,2010-09-01,12,411,405,range
67.43,330,House,Tauranga,2011-02-28,Tauranga Central/Greerton,Bay of Plenty,4,400,2010-09-01,55,374,360,range
42.93,280,House,Tauranga,2011-02-28,Tauranga Central/Greerton,Bay of Plenty,3,330,2010-09-01,273,309,300,range
43.62,250,House,Tauranga,2011-02-28,Tauranga Central/Greerton,Bay of Plenty,2,280,2010-09-01,103,264,265,range
43.67,183,House,Tauranga,2011-02-28,Tauranga Central/Greerton,Bay of Plenty,1,221,2010-09-01,5,208,190,range
64.08,150,Room,Tauranga,2011-02-28,Tauranga Central/Greerton,Bay of Plenty,1,285,2010-09-01,21,220,200,range
40.82,500,Apartment,Hamilton,2011-02-28,Hamilton East/University,Waikato,5+,550,2010-09-01,6,506,500,range
21.16,420,Apartment,Hamilton,2011-02-28,Hamilton East/University,Waikato,4,440,2010-09-01,19,434,440,range
54.42,332,Apartment,Hamilton,2011-02-28,Hamilton East/University,Waikato,3,383,2010-09-01,19,358,350,range
71.12,257,Apartment,Hamilton,2011-02-28,Hamilton East/University,Waikato,2,320,2010-09-01,21,293,290,range
60.09,190,Apartment,Hamilton,2011-02-28,Hamilton East/University,Waikato,1,310,2010-09-01,14,259,292,range
49.9,240,Flat,Hamilton,2011-02-28,Hamilton East/University,Waikato,3,280,2010-09-01,11,266,270,range
37.51,181,Flat,Hamilton,2011-02-28,Hamilton East/University,Waikato,2,220,2010-09-01,167,208,200,range
39.92,155,Flat,Hamilton,2011-02-28,Hamilton East/University,Waikato,1,190,2010-09-01,140,172,165,range
79.04,360,House,Hamilton,2011-02-28,Hamilton East/University,Waikato,5+,490,2010-09-01,31,440,450,range
45.44,340,House,Hamilton,2011-02-28,Hamilton East/University,Waikato,4,410,2010-09-01,102,379,380,range
51.07,290,House,Hamilton,2011-02-28,Hamilton East/University,Waikato,3,345,2010-09-01,204,320,320,range
59.26,250,House,Hamilton,2011-02-28,Hamilton East/University,Waikato,2,320,2010-09-01,93,292,280,range
57.8,191,House,Hamilton,2011-02-28,Hamilton East/University,Waikato,1,280,2010-09-01,9,230,210,range
82.72,105,Room,Hamilton,2011-02-28,Hamilton East/University,Waikato,1,205,2010-09-01,12,175,190,range
67.28,340,Apartment,Tauranga,2011-02-28,Mt Maunganui,Bay of Plenty,3,390,2010-09-01,46,380,360,range
89.94,330,Apartment,Tauranga,2011-02-28,Mt Maunganui,Bay of Plenty,2,420,2010-09-01,50,383,377,range
15.06,300,Apartment,Tauranga,2011-02-28,Mt Maunganui,Bay of Plenty,1,320,2010-09-01,6,313,310,range
92.56,280,Flat,Tauranga,2011-02-28,Mt Maunganui,Bay of Plenty,3,325,2010-09-01,8,295,290,range
37.62,250,Flat,Tauranga,2011-02-28,Mt Maunganui,Bay of Plenty,2,285,2010-09-01,57,263,260,range
40.42,180,Flat,Tauranga,2011-02-28,Mt Maunganui,Bay of Plenty,1,240,2010-09-01,18,213,200,range
107.64,350,House,Tauranga,2011-02-28,Mt Maunganui,Bay of Plenty,4,495,2010-09-01,34,429,415,range
64.24,310,House,Tauranga,2011-02-28,Mt Maunganui,Bay of Plenty,3,370,2010-09-01,217,349,330,range
56.24,270,House,Tauranga,2011-02-28,Mt Maunganui,Bay of Plenty,2,340,2010-09-01,84,306,297,range
60.33,130,Room,Tauranga,2011-02-28,Mt Maunganui,Bay of Plenty,1,240,2010-09-01,10,192,180,range
19.88,300,Apartment,Tauranga,2011-02-28,Papamoa Beach,Bay of Plenty,2,300,2010-09-01,7,294,300,range
56.25,270,Flat,Tauranga,2011-02-28,Papamoa Beach,Bay of Plenty,3,365,2010-09-01,6,315,295,range
36.56,225,Flat,Tauranga,2011-02-28,Papamoa Beach,Bay of Plenty,2,257,2010-09-01,16,242,232,range
59.31,180,Flat,Tauranga,2011-02-28,Papamoa Beach,Bay of Plenty,1,238,2010-09-01,9,221,200,range
113.95,340,House,Tauranga,2011-02-28,Papamoa Beach,Bay of Plenty,5+,510,2010-09-01,8,438,440,range
59.33,360,House,Tauranga,2011-02-28,Papamoa Beach,Bay of Plenty,4,440,2010-09-01,74,398,400,range
62.96,310,House,Tauranga,2011-02-28,Papamoa Beach,Bay of Plenty,3,370,2010-09-01,191,341,335,range
37.15,250,House,Tauranga,2011-02-28,Papamoa Beach,Bay of Plenty,2,290,2010-09-01,41,271,260,range
45.1,181,Flat,Western Bay of Plenty,2011-02-28,Kaimai/Te Puke,Bay of Plenty,2,260,2010-09-01,9,220,250,range
47.91,120,Flat,Western Bay of Plenty,2011-02-28,Kaimai/Te Puke,Bay of Plenty,1,180,2010-09-01,14,143,160,range
85.25,320,House,Western Bay of Plenty,2011-02-28,Kaimai/Te Puke,Bay of Plenty,5+,380,2010-09-01,10,336,360,range
57.01,282,House,Western Bay of Plenty,2011-02-28,Kaimai/Te Puke,Bay of Plenty,4,350,2010-09-01,24,325,310,range
42.04,250,House,Western Bay of Plenty,2011-02-28,Kaimai/Te Puke,Bay of Plenty,3,300,2010-09-01,87,277,280,range
39.87,213,House,Western Bay of Plenty,2011-02-28,Kaimai/Te Puke,Bay of Plenty,2,252,2010-09-01,45,238,240,range
15.81,163,House,Western Bay of Plenty,2011-02-28,Kaimai/Te Puke,Bay of Plenty,1,185,2010-09-01,5,175,170,range
19.24,307,Apartment,Tauranga,2011-02-28,Bethlehem/Otumoetai,Bay of Plenty,3,335,2010-09-01,5,322,320,range
24.65,222,Flat,Tauranga,2011-02-28,Bethlehem/Otumoetai,Bay of Plenty,2,260,2010-09-01,64,244,250,range
20.1,186,Flat,Tauranga,2011-02-28,Bethlehem/Otumoetai,Bay of Plenty,1,200,2010-09-01,11,195,200,range
73.86,392,House,Tauranga,2011-02-28,Bethlehem/Otumoetai,Bay of Plenty,5+,492,2010-09-01,9,451,480,range
78.15,375,House,Tauranga,2011-02-28,Bethlehem/Otumoetai,Bay of Plenty,4,450,2010-09-01,79,421,410,range
46.18,300,House,Tauranga,2011-02-28,Bethlehem/Otumoetai,Bay of Plenty,3,358,2010-09-01,271,330,320,range
34.41,250,House,Tauranga,2011-02-28,Bethlehem/Otumoetai,Bay of Plenty,2,290,2010-09-01,74,272,270,range
37.28,280,Apartment,Taupo,2011-02-28,Taupo West/Taupo South,Bay of Plenty,3,350,2010-09-01,6,315,315,range
51.99,215,Flat,Taupo,2011-02-28,Taupo West/Taupo South,Bay of Plenty,2,257,2010-09-01,13,237,220,range
46.94,151,Flat,Taupo,2011-02-28,Taupo West/Taupo South,Bay of Plenty,1,200,2010-09-01,7,179,170,range
70.08,370,House,Taupo,2011-02-28,Taupo West/Taupo South,Bay of Plenty,5+,425,2010-09-01,10,406,380,range
54.75,332,House,Taupo,2011-02-28,Taupo West/Taupo South,Bay of Plenty,4,400,2010-09-01,51,366,360,range
52.24,285,House,Taupo,2011-02-28,Taupo West/Taupo South,Bay of Plenty,3,343,2010-09-01,147,315,300,range
30.41,227,House,Taupo,2011-02-28,Taupo West/Taupo South,Bay of Plenty,2,265,2010-09-01,36,247,247,range
56.38,300,House,Rotorua,2011-02-28,Rural Rotorua,Bay of Plenty,4,390,2010-09-01,14,346,340,range
